Data Set,Avg Accuracy,Std. Dev,Optimized Acc,Std. Dev
breast-cancer-wisconsin,0.5173424263413074,0.0,0.0,0.0
ecoli,0.30428200692041524,0.0,0.1457612456747405,0.0
haberman,0.7261488847084118,0.0,0.7704918032786885,0.0
ionosphere,0.558024201547312,0.0,0.549097401309264,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.7394258163488933,0.0,0.7394258163488933,0.0
pima_diabetec,0.6410018552875696,0.0,0.6410018552875696,0.0
sonar,0.47165532879818595,0.0,0.5056689342403629,0.0
wine,0.35185185185185186,0.0,0.35185185185185186,0.0
breast-cancer-wisconsin,0.5184612925568757,0.0,0.5184612925568757,0.0
ecoli,0.2954152249134948,0.0,0.29801038062283736,0.0
haberman,0.7172803009943564,0.0,0.7261488847084118,0.0
ionosphere,0.5937314024995041,0.0,0.5937314024995041,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.7435897435897436,0.0,0.7435897435897436,0.0
pima_diabetec,0.5426716141001855,0.0,0.5333951762523191,0.0
sonar,0.4603174603174603,0.0,0.5340136054421769,0.0
wine,0.35185185185185186,0.0,0.35185185185185186,0.0
breast-cancer-wisconsin,0.5184612925568757,0.0,0.0,0.0
ecoli,0.2954152249134948,0.0,0.30428200692041524,0.0
haberman,0.7704918032786885,0.0,0.7704918032786885,0.0
ionosphere,0.459829398928784,0.0,0.459829398928784,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.7394258163488933,0.0,0.5811965811965812,0.0
pima_diabetec,0.6428571428571429,0.0,0.6428571428571429,0.0
sonar,0.47165532879818595,0.0,0.5566893424036281,0.0
wine,0.35185185185185186,0.0,0.35185185185185186,0.0
breast-cancer-wisconsin,0.5173424263413074,0.0,0.5173424263413074,0.0
ecoli,0.30428200692041524,0.0,0.1457612456747405,0.0
haberman,0.7350174684224671,0.0,0.7350174684224671,0.0
ionosphere,0.5937314024995041,0.0,0.549097401309264,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.7394258163488933,0.0,0.7352618891080429,0.0
pima_diabetec,0.6001855287569573,0.0,0.6001855287569573,0.0
sonar,0.4886621315192744,0.0,0.5170068027210885,0.0
wine,0.35185185185185186,0.0,0.35185185185185186,0.0
breast-cancer-wisconsin,0.5184612925568757,0.0,0.5184612925568757,0.0
ecoli,0.2954152249134948,0.0,0.32244809688581316,0.0
haberman,0.6995431335662456,0.0,0.6818059661381349,0.0
ionosphere,0.5520730013886134,0.0,0.5937314024995041,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.7394258163488933,0.0,0.7394258163488933,0.0
pima_diabetec,0.6410018552875696,0.0,0.6410018552875696,0.0
sonar,0.4886621315192744,0.0,0.5170068027210885,0.0
wine,0.35185185185185186,0.0,0.35185185185185186,0.0
breast-cancer-wisconsin,0.5173424263413074,0.0,0.5173424263413074,0.0
ecoli,0.30428200692041524,0.0,0.30428200692041524,0.0
haberman,0.7261488847084118,0.0,0.6995431335662456,0.0
ionosphere,0.5520730013886134,0.0,0.5371950009918667,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.7394258163488933,0.0,0.5811965811965812,0.0
pima_diabetec,0.6428571428571429,0.0,0.5408163265306123,0.0
sonar,0.528344671201814,0.0,0.4943310657596372,0.0
wine,0.35185185185185186,0.0,0.35185185185185186,0.0
breast-cancer-wisconsin,0.5173424263413074,0.0,0.0,0.0
ecoli,0.30428200692041524,0.0,0.32244809688581316,0.0
haberman,0.7261488847084118,0.0,0.7261488847084118,0.0
ionosphere,0.459829398928784,0.0,0.5937314024995041,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.631163708086785,0.0,0.7394258163488933,0.0
pima_diabetec,0.6428571428571429,0.0,0.6428571428571429,0.0
sonar,0.4886621315192744,0.0,0.5056689342403629,0.0
wine,0.35185185185185186,0.0,0.35185185185185186,0.0
breast-cancer-wisconsin,0.5173424263413074,0.0,0.5173424263413074,0.0
ecoli,0.32244809688581316,0.0,0.32244809688581316,0.0
haberman,0.6818059661381349,0.0,0.7261488847084118,0.0
ionosphere,0.5937314024995041,0.0,0.5937314024995041,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.6145079991233837,0.0,0.6020162174008328,0.0
pima_diabetec,0.551948051948052,0.0,0.6428571428571429,0.0
sonar,0.528344671201814,0.0,0.4943310657596372,0.0
wine,0.35185185185185186,0.0,0.35185185185185186,0.0
breast-cancer-wisconsin,0.5173424263413074,0.0,0.5184612925568757,0.0
ecoli,0.32244809688581316,0.0,0.32244809688581316,0.0
haberman,0.7261488847084118,0.0,0.7261488847084118,0.0
ionosphere,0.5431462011505653,0.0,0.549097401309264,0.0
iris,0.33555555555555555,0.0,0.3233333333333333,0.0
liver,0.7394258163488933,0.0,0.7352618891080429,0.0
pima_diabetec,0.5500927643784786,0.0,0.5408163265306123,0.0
sonar,0.4546485260770975,0.0,0.4546485260770975,0.0
wine,0.3888888888888889,0.0,0.35185185185185186,0.0
breast-cancer-wisconsin,0.5173424263413074,0.0,0.5173424263413074,0.0
ecoli,0.3142301038062284,0.0,0.1457612456747405,0.0
haberman,0.7172803009943564,0.0,0.6995431335662456,0.0
ionosphere,0.5937314024995041,0.0,0.5937314024995041,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.7394258163488933,0.0,0.7394258163488933,0.0
pima_diabetec,0.551948051948052,0.0,0.5463821892393321,0.0
sonar,0.47165532879818595,0.0,0.5566893424036281,0.0
wine,0.35185185185185186,0.0,0.2777777777777778,0.0
breast-cancer-wisconsin,0.5184612925568757,0.0,0.5184612925568757,0.0
ecoli,0.2954152249134948,0.0,0.2772491349480969,0.0
haberman,0.6906745498521902,0.0,0.610857296425692,0.0
ionosphere,0.5937314024995041,0.0,0.5967070025788535,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.7394258163488933,0.0,0.7435897435897436,0.0
pima_diabetec,0.6428571428571429,0.0,0.6428571428571429,0.0
sonar,0.5056689342403629,0.0,0.5113378684807256,0.0
wine,0.35185185185185186,0.0,0.35185185185185186,0.0
breast-cancer-wisconsin,0.5173424263413074,0.0,0.5173424263413074,0.0
ecoli,0.30428200692041524,0.0,0.30428200692041524,0.0
haberman,0.7261488847084118,0.0,0.6818059661381349,0.0
ionosphere,0.5937314024995041,0.0,0.5937314024995041,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.7435897435897436,0.0,0.7435897435897436,0.0
pima_diabetec,0.5445269016697588,0.0,0.5111317254174397,0.0
sonar,0.5396825396825397,0.0,0.5566893424036281,0.0
wine,0.35185185185185186,0.0,0.35185185185185186,0.0
breast-cancer-wisconsin,0.5184612925568757,0.0,0.0,0.0
ecoli,0.32244809688581316,0.0,0.31682525951557095,0.0
haberman,0.6995431335662456,0.0,0.7261488847084118,0.0
ionosphere,0.5937314024995041,0.0,0.5937314024995041,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.7394258163488933,0.0,0.7394258163488933,0.0
pima_diabetec,0.6057513914656771,0.0,0.538961038961039,0.0
sonar,0.41496598639455784,0.0,0.41496598639455784,0.0
wine,0.35185185185185186,0.0,0.35185185185185186,0.0
breast-cancer-wisconsin,0.5173424263413074,0.0,0.5184612925568757,0.0
ecoli,0.30428200692041524,0.0,0.1457612456747405,0.0
haberman,0.7261488847084118,0.0,0.7261488847084118,0.0
ionosphere,0.5937314024995041,0.0,0.5937314024995041,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.7352618891080429,0.0,0.7352618891080429,0.0
pima_diabetec,0.5426716141001855,0.0,0.5426716141001855,0.0
sonar,0.5453514739229025,0.0,0.5,0.0
wine,0.35185185185185186,0.0,0.2777777777777778,0.0
breast-cancer-wisconsin,0.5173424263413074,0.0,0.5195801587724439,0.0
ecoli,0.3142301038062284,0.0,0.32244809688581316,0.0
haberman,0.7261488847084118,0.0,0.7261488847084118,0.0
ionosphere,0.5937314024995041,0.0,0.5937314024995041,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.7435897435897436,0.0,0.7435897435897436,0.0
pima_diabetec,0.6428571428571429,0.0,0.6428571428571429,0.0
sonar,0.5680272108843537,0.0,0.5396825396825397,0.0
wine,0.35185185185185186,0.0,0.3888888888888889,0.0
breast-cancer-wisconsin,0.5184612925568757,0.0,0.0,0.0
ecoli,0.32244809688581316,0.0,0.32244809688581316,0.0
haberman,0.7261488847084118,0.0,0.7261488847084118,0.0
ionosphere,0.5937314024995041,0.0,0.459829398928784,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.7435897435897436,0.0,0.7435897435897436,0.0
pima_diabetec,0.6428571428571429,0.0,0.6428571428571429,0.0
sonar,0.5056689342403629,0.0,0.47732426303854875,0.0
wine,0.35185185185185186,0.0,0.35185185185185186,0.0
breast-cancer-wisconsin,0.5184612925568757,0.0,0.5128669614790345,0.0
ecoli,0.2954152249134948,0.0,0.2649221453287197,0.0
haberman,0.6906745498521902,0.0,0.6906745498521902,0.0
ionosphere,0.5520730013886134,0.0,0.5937314024995041,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.7435897435897436,0.0,0.7435897435897436,0.0
pima_diabetec,0.6428571428571429,0.0,0.6428571428571429,0.0
sonar,0.5,0.0,0.5,0.0
wine,0.35185185185185186,0.0,0.3888888888888889,0.0
breast-cancer-wisconsin,0.5184612925568757,0.0,0.0,0.0
ecoli,0.32244809688581316,0.0,0.28784602076124566,0.0
haberman,0.7261488847084118,0.0,0.7261488847084118,0.0
ionosphere,0.4628049990081333,0.0,0.4628049990081333,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.7394258163488933,0.0,0.7394258163488933,0.0
pima_diabetec,0.551948051948052,0.0,0.551948051948052,0.0
sonar,0.4886621315192744,0.0,0.5170068027210885,0.0
wine,0.35185185185185186,0.0,0.35185185185185186,0.0
breast-cancer-wisconsin,0.5184612925568757,0.0,0.5173424263413074,0.0
ecoli,0.2954152249134948,0.0,0.1457612456747405,0.0
haberman,0.7261488847084118,0.0,0.7261488847084118,0.0
ionosphere,0.5609998016266614,0.0,0.5609998016266614,0.0
iris,0.33555555555555555,0.0,0.3233333333333333,0.0
liver,0.7394258163488933,0.0,0.7394258163488933,0.0
pima_diabetec,0.6076066790352505,0.0,0.6428571428571429,0.0
sonar,0.5113378684807256,0.0,0.5056689342403629,0.0
wine,0.35185185185185186,0.0,0.35185185185185186,0.0
breast-cancer-wisconsin,0.5184612925568757,0.0,0.5184612925568757,0.0
ecoli,0.30428200692041524,0.0,0.30428200692041524,0.0
haberman,0.7261488847084118,0.0,0.7261488847084118,0.0
ionosphere,0.4628049990081333,0.0,0.5937314024995041,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.7394258163488933,0.0,0.631163708086785,0.0
pima_diabetec,0.6428571428571429,0.0,0.5408163265306123,0.0
sonar,0.5226757369614512,0.0,0.4886621315192744,0.0
wine,0.35185185185185186,0.0,0.35185185185185186,0.0
breast-cancer-wisconsin,0.5184612925568757,0.0,0.5184612925568757,0.0
ecoli,0.30428200692041524,0.0,0.32244809688581316,0.0
haberman,0.7261488847084118,0.0,0.7261488847084118,0.0
ionosphere,0.5937314024995041,0.0,0.4628049990081333,0.0
iris,0.33555555555555555,0.0,0.3233333333333333,0.0
liver,0.7435897435897436,0.0,0.7435897435897436,0.0
pima_diabetec,0.6428571428571429,0.0,0.44434137291280146,0.0
sonar,0.5056689342403629,0.0,0.47165532879818595,0.0
wine,0.3888888888888889,0.0,0.3888888888888889,0.0
breast-cancer-wisconsin,0.5184612925568757,0.0,0.5139858276946028,0.0
ecoli,0.32244809688581316,0.0,0.32244809688581316,0.0
haberman,0.7261488847084118,0.0,0.7261488847084118,0.0
ionosphere,0.5937314024995041,0.0,0.4628049990081333,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.7394258163488933,0.0,0.7394258163488933,0.0
pima_diabetec,0.6076066790352505,0.0,0.6076066790352505,0.0
sonar,0.5056689342403629,0.0,0.48299319727891155,0.0
wine,0.35185185185185186,0.0,0.3888888888888889,0.0
breast-cancer-wisconsin,0.5173424263413074,0.0,0.0,0.0
ecoli,0.30428200692041524,0.0,0.32244809688581316,0.0
haberman,0.7261488847084118,0.0,0.7261488847084118,0.0
ionosphere,0.5937314024995041,0.0,0.5937314024995041,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.7394258163488933,0.0,0.7394258163488933,0.0
pima_diabetec,0.6428571428571429,0.0,0.6428571428571429,0.0
sonar,0.41496598639455784,0.0,0.46598639455782315,0.0
wine,0.35185185185185186,0.0,0.35185185185185186,0.0
breast-cancer-wisconsin,0.5173424263413074,0.0,0.5173424263413074,0.0
ecoli,0.307742214532872,0.0,0.32244809688581316,0.0
haberman,0.6995431335662456,0.0,0.6995431335662456,0.0
ionosphere,0.5937314024995041,0.0,0.5937314024995041,0.0
iris,0.33555555555555555,0.0,0.33555555555555555,0.0
liver,0.6145079991233837,0.0,0.6145079991233837,0.0
